purpose,status,date,lat,lon
exploration,suspended/capped/shut-in,1995-03-08,-25.595277,148.948436
exploration,water bore,1995-03-12,-26.000372,150.079919
exploration,suspended/capped/shut-in,1995-03-16,-25.595236,148.967616
exploration,suspended/capped/shut-in,1995-04-02,-25.603378,148.967752
exploration,plugged and abandoned,1995-04-04,-32.273446,150.654825
exploration,suspended/capped/shut-in,1995-04-06,-24.799803,149.974422
exploration,plugged and abandoned,1995-04-18,-24.631746,149.944144
exploration,suspended/capped/shut-in,1995-04-21,-25.597836,148.9396
exploration,plugged and abandoned,1995-05-09,-24.700358,149.959422
exploration,plugged and abandoned,1995-05-12,-32.423649,150.653453
exploration,plugged and abandoned,1995-05-15,-25.583027,148.959683
exploration,plugged and abandoned,1995-06-12,-25.571847,148.944594
exploration,suspended/capped/shut-in,1995-06-15,-32.477139,150.776027
exploration,suspended/capped/shut-in,1995-06-17,-24.647352,150.007019
exploration,suspended/capped/shut-in,1995-06-26,-24.651383,150.008347
exploration,suspended/capped/shut-in,1995-07-02,-23.066222,144.767108
exploration,suspended/capped/shut-in,1995-07-04,-24.650978,150.011114
exploration,plugged and abandoned,1995-07-05,-24.673408,148.240491
exploration,plugged and abandoned,1995-07-10,-25.575569,148.911314
exploration,suspended/capped/shut-in,1995-07-12,-22.907989,144.571977
exploration,suspended/capped/shut-in,1995-07-16,-24.805203,149.970863
exploration,plugged and abandoned,1995-07-21,-24.583672,148.224369
exploration,suspended/capped/shut-in,1995-08-02,-24.807406,149.973919
exploration,plugged and abandoned,1995-08-06,-24.517969,148.243083
exploration,suspended/capped/shut-in,1995-08-11,-26.015233,150.095791
exploration,plugged and abandoned,1995-08-22,-24.630485,149.946997
exploration,suspended/capped/shut-in,1995-08-24,-24.7999,149.974658
exploration,plugged and abandoned,1995-08-28,-32.215482,150.309
exploration,suspended/capped/shut-in,1995-08-30,-24.627577,149.95185
exploration,suspended/capped/shut-in,1995-09-04,-26.033361,150.095486
exploration,suspended/capped/shut-in,1995-09-06,-24.631149,149.950972
exploration,suspended/capped/shut-in,1995-09-13,-24.807311,149.973863
exploration,suspended/capped/shut-in,1995-09-23,-26.032227,150.064944
exploration,suspended/capped/shut-in,1995-10-10,-25.167319,150.089736
exploration,plugged and abandoned,1995-10-12,-26.017252,150.077138
exploration,plugged and abandoned,1995-10-20,-25.562236,150.113222
exploration,plugged and abandoned,1995-10-27,-32.139066,150.298796
exploration,plugged and abandoned,1995-11-10,-26.054553,150.098297
exploration,plugged and abandoned,1995-11-22,-26.073063,150.103311
exploration,plugged and abandoned,1995-11-24,-26.026333,150.102306
exploration,plugged and abandoned,1995-12-24,-33.174079,151.207223
exploration,plugged and abandoned,1996-01-21,-28.168082,152.858285
exploration,plugged and abandoned,1996-02-15,-27.831716,153.139235
exploration,plugged and abandoned,1996-02-28,-27.687987,152.889882
exploration,plugged and abandoned,1996-05-30,-25.971147,150.083794
exploration,suspended/capped/shut-in,1996-06-02,-24.656292,150.003533
exploration,suspended/capped/shut-in,1996-06-05,-24.595852,149.998291
exploration,suspended/capped/shut-in,1996-06-09,-24.641902,149.995983
exploration,suspended/capped/shut-in,1996-06-11,-25.971147,150.083794
exploration,plugged and abandoned,1996-06-12,-24.700689,149.963194
exploration,suspended/capped/shut-in,1996-06-15,-24.645541,149.999289
exploration,suspended/capped/shut-in,1996-06-20,-24.728491,149.99778
exploration,suspended/capped/shut-in,1996-06-21,-24.640252,150.001278
exploration,suspended/capped/shut-in,1996-06-26,-24.804414,150.000189
exploration,suspended/capped/shut-in,1996-06-27,-24.638241,149.991241
appraisal/pilot,suspended/capped/shut-in,1996-07-04,-24.649233,149.995444
appraisal/pilot,plugged and abandoned,1996-07-05,-24.8006,149.996105
appraisal/pilot,plugged and abandoned,1996-07-09,-24.648966,150.00325
appraisal/pilot,suspended/capped/shut-in,1996-07-13,-24.797022,149.999986
appraisal/pilot,suspended/capped/shut-in,1996-07-14,-24.652047,149.999489
appraisal/pilot,suspended/capped/shut-in,1996-07-19,-24.645552,149.991402
appraisal/pilot,suspended/capped/shut-in,1996-07-21,-24.79323,149.996583
appraisal/pilot,suspended/capped/shut-in,1996-07-24,-24.656158,150.011456
appraisal/pilot,plugged and abandoned,1996-07-27,-24.796969,150.007878
appraisal/pilot,suspended/capped/shut-in,1996-07-31,-24.643827,150.004653
appraisal/pilot,plugged and abandoned,1996-08-02,-24.800239,150.004289
appraisal/pilot,suspended/capped/shut-in,1996-08-05,-24.659839,150.007464
appraisal/pilot,suspended/capped/shut-in,1996-08-08,-24.796683,150.014864
exploration,suspended/capped/shut-in,1996-08-09,-24.68118,150.013536
appraisal/pilot,suspended/capped/shut-in,1996-08-13,-24.793283,150.011758
exploration,suspended/capped/shut-in,1996-08-13,-24.731972,150.000331
appraisal/pilot,suspended/capped/shut-in,1996-08-18,-24.792747,150.003958
exploration,suspended/capped/shut-in,1996-08-18,-24.734219,149.997619
appraisal/pilot,suspended/capped/shut-in,1996-08-24,-24.789602,149.99993
exploration,plugged and abandoned,1996-08-24,-24.700719,149.956636
appraisal/pilot,plugged and abandoned,1996-08-30,-24.698158,149.959614
exploration,suspended/capped/shut-in,1996-08-31,-24.789241,150.007636
appraisal/pilot,plugged and abandoned,1996-09-06,-24.619344,149.96693
exploration,suspended/capped/shut-in,1996-09-11,-24.789544,150.015692
exploration,suspended/capped/shut-in,1996-09-18,-25.063219,150.063197
exploration,plugged and abandoned,1996-09-29,-25.539986,150.209397
exploration,plugged and abandoned,1996-10-18,-24.553392,149.958408
appraisal/pilot,plugged and abandoned,1996-11-24,-25.711742,148.894989
appraisal/pilot,producing,1996-12-13,-25.711742,148.894989
appraisal/pilot,producing,1997-01-04,-25.615206,148.937961
appraisal/pilot,suspended/capped/shut-in,1997-01-24,-25.579799,148.86918
exploration,plugged and abandoned,1997-02-03,-32.107994,151.960063
exploration,plugged and abandoned,1997-03-04,-32.092446,151.97077
exploration,suspended/capped/shut-in,1997-04-16,-32.099467,151.974827
exploration,plugged and abandoned,1997-04-28,-21.273048,148.07124
exploration,suspended/capped/shut-in,1997-04-28,-32.108699,151.964627
appraisal/pilot,suspended/capped/shut-in,1997-05-09,-26.008233,150.088586
exploration,plugged and abandoned,1997-05-22,-21.630105,148.16415
appraisal/pilot,suspended/capped/shut-in,1997-06-06,-26.04393,150.089877
exploration,plugged and abandoned,1997-06-27,-21.630104,148.164053
appraisal/pilot,suspended/capped/shut-in,1997-08-02,-26.079616,150.102756
appraisal/pilot,suspended/capped/shut-in,1997-08-17,-26.009011,150.067963
exploration,plugged and abandoned,1997-09-08,-31.43110253,150.2932746
exploration,water bore,1997-10-29,-31.5052945,150.4454442
exploration,suspended/capped/shut-in,1997-11-30,-25.946764,150.081005
appraisal/pilot,suspended/capped/shut-in,1997-12-15,-26.123255,150.092561
appraisal/pilot,suspended/capped/shut-in,1997-12-22,-26.102647,150.105328
appraisal/pilot,plugged and abandoned,1997-12-31,-26.091036,150.07131
appraisal/pilot,plugged and abandoned,1998-01-02,-26.16818,150.113181
appraisal/pilot,plugged and abandoned,1998-01-12,-26.211036,150.131891
exploration,plugged and abandoned,1998-01-29,-29.06235359,153.2332134
exploration,plugged and abandoned,1998-02-18,-29.20842731,153.1329109
exploration,plugged and abandoned,1998-03-30,-29.10803413,153.2072593
appraisal/pilot,plugged and abandoned,1998-04-23,-30.52827244,149.6112384
exploration,plugged and abandoned,1998-04-24,-29.17138011,153.1798418
exploration,suspended/capped/shut-in,1998-05-25,-25.912469,148.946319
appraisal/pilot,plugged and abandoned,1998-06-11,-30.53700897,149.6109012
exploration,suspended/capped/shut-in,1998-06-21,-25.912083,149.195002
exploration,suspended/capped/shut-in,1998-06-30,-30.54572827,149.6105678
appraisal/pilot,plugged and abandoned,1998-07-12,-30.536588,149.600169
appraisal/pilot,suspended/capped/shut-in,1998-07-25,-25.900178,149.144436
appraisal/pilot,plugged and abandoned,1998-08-04,-30.536844,149.621275
appraisal/pilot,plugged and abandoned,1998-08-20,-30.536838,149.620935
appraisal/pilot,suspended/capped/shut-in,1998-08-24,-25.858233,149.122052
development/production,suspended/capped/shut-in,1998-09-14,-26.001869,150.093502
appraisal/pilot,suspended/capped/shut-in,1998-10-01,-25.863567,149.119316
appraisal/pilot,suspended/capped/shut-in,1998-10-04,-25.569413,148.878472
appraisal/pilot,plugged and abandoned,1998-10-08,-30.357364,149.666778
development/production,suspended/capped/shut-in,1998-10-09,-26.007906,150.078102
appraisal/pilot,suspended/capped/shut-in,1998-10-15,-25.713067,148.877963
development/production,suspended/capped/shut-in,1998-10-16,-26.024927,150.081149
development/production,suspended/capped/shut-in,1998-10-23,-26.0153,150.087869
appraisal/pilot,suspended/capped/shut-in,1998-10-27,-25.907589,149.148339
development/production,suspended/capped/shut-in,1998-10-29,-26.022272,150.092319
exploration,plugged and abandoned,1998-11-05,-31.195454,150.249277
development/production,suspended/capped/shut-in,1998-11-30,-24.792436,150.01886
development/production,suspended/capped/shut-in,1998-12-02,-24.784872,150.012114
appraisal/pilot,suspended/capped/shut-in,1998-12-03,-24.737519,149.998502
appraisal/pilot,suspended/capped/shut-in,1998-12-05,-24.735014,150.003414
appraisal/pilot,suspended/capped/shut-in,1998-12-08,-26.033511,149.160794
appraisal/pilot,suspended/capped/shut-in,1998-12-09,-30.363681,149.664711
appraisal/pilot,plugged and abandoned,1998-12-09,-30.367809,149.656936
appraisal/pilot,suspended/capped/shut-in,1998-12-18,-30.54301,149.613927
appraisal/pilot,plugged and abandoned,1998-12-31,-30.373087,149.663732
exploration,plugged and abandoned,1999-01-06,-30.36226,149.672695
exploration,plugged and abandoned,1999-01-07,-30.545826,149.610876
appraisal/pilot,unknown,1999-01-12,-26.033124,149.136397
appraisal/pilot,suspended/capped/shut-in,1999-02-06,-24.73076,150.005497
appraisal/pilot,suspended/capped/shut-in,1999-02-11,-24.727869,150.002325
appraisal/pilot,suspended/capped/shut-in,1999-02-14,-25.928958,149.043864
appraisal/pilot,suspended/capped/shut-in,1999-02-14,-24.714992,150.001747
development/production,suspended/capped/shut-in,1999-02-16,-24.772863,150.012672
development/production,plugged and abandoned,1999-02-18,-34.12110764,150.662097
development/production,suspended/capped/shut-in,1999-02-19,-24.782533,150.007661
development/production,producing,1999-02-19,-34.11584366,150.6661228
development/production,plugged and abandoned,1999-02-19,-34.125696,150.66339
development/production,plugged and abandoned,1999-02-19,-34.11539,150.661175
development/production,plugged and abandoned,1999-02-19,-34.115526,150.6553318
development/production,plugged and abandoned,1999-02-19,-34.12620199,150.658655
appraisal/pilot,suspended/capped/shut-in,1999-02-20,-24.748422,150.010897
exploration,suspended/capped/shut-in,1999-05-19,-32.10799392,151.9600634
development/production,suspended/capped/shut-in,1999-05-21,-25.597086,148.928702
exploration,plugged and abandoned,1999-05-25,-32.108699,151.964627
exploration,plugged and abandoned,1999-05-31,-25.643991,148.637522
development/production,suspended/capped/shut-in,1999-06-01,-25.613283,148.928716
appraisal/pilot,suspended/capped/shut-in,1999-06-13,-25.624005,148.936755
development/production,suspended/capped/shut-in,1999-06-22,-25.614292,148.969199
exploration,plugged and abandoned,1999-06-22,-32.092446,151.97077
exploration,plugged and abandoned,1999-06-27,-25.644394,148.69143
exploration,plugged and abandoned,1999-06-28,-32.092369,151.966648
development/production,suspended/capped/shut-in,1999-07-01,-25.604703,148.977241
appraisal/pilot,suspended/capped/shut-in,1999-07-10,-25.592227,148.983233
appraisal/pilot,suspended/capped/shut-in,1999-07-17,-25.605028,148.91525
appraisal/pilot,suspended/capped/shut-in,1999-07-24,-25.612981,148.908122
exploration,plugged and abandoned,1999-07-28,-32.09225708,151.9754601
exploration,plugged and abandoned,1999-07-31,-25.209036,150.1105
exploration,plugged and abandoned,1999-08-02,-28.781332,149.889426
development/production,plugged and abandoned,1999-08-18,-34.121161,150.644315
development/production,plugged and abandoned,1999-08-23,-34.12409074,150.6437416
development/production,plugged and abandoned,1999-08-25,-34.12390211,150.6512825
exploration,suspended/capped/shut-in,1999-08-31,-32.098934,151.964471
exploration,plugged and abandoned,1999-09-03,-32.109242,151.96904
appraisal/pilot,suspended/capped/shut-in,1999-09-07,-25.897214,150.077849
development/production,plugged and abandoned,1999-09-26,-34.107521,150.6642715
development/production,plugged and abandoned,1999-09-29,-34.10347529,150.6581164
development/production,plugged and abandoned,1999-10-01,-34.10364205,150.651445
development/production,producing,1999-10-04,-24.769388,150.008972
development/production,suspended/capped/shut-in,1999-10-06,-24.77053,150.021291
development/production,plugged and abandoned,1999-10-06,-34.10529476,150.6722561
development/production,producing,1999-10-08,-24.767277,150.015464
development/production,plugged and abandoned,1999-10-08,-34.123902,150.6512822
development/production,producing,1999-10-10,-24.777338,150.019538
development/production,producing,1999-10-11,-34.119644,150.669099
development/production,producing,1999-10-12,-24.784514,150.017952
development/production,producing,1999-10-14,-24.78008,150.015839
development/production,plugged and abandoned,1999-10-14,-34.08844502,150.667385
development/production,producing,1999-10-16,-24.778377,150.010875
development/production,producing,1999-10-18,-24.77703,150.006372
development/production,plugged and abandoned,2000-02-23,-34.085827,150.655672
development/production,plugged and abandoned,2000-02-29,-34.09519399,150.660166
appraisal/pilot,plugged and abandoned,2000-04-01,-30.63441369,149.6500163
appraisal/pilot,suspended/capped/shut-in,2000-04-18,-23.063792,144.762939
exploration,plugged and abandoned,2000-05-06,-30.570431,149.690843
appraisal/pilot,suspended/capped/shut-in,2000-05-18,-25.929138,150.080372
appraisal/pilot,suspended/capped/shut-in,2000-05-19,-23.068013,144.760475
appraisal/pilot,suspended/capped/shut-in,2000-05-27,-25.700825,148.895658
appraisal/pilot,suspended/capped/shut-in,2000-05-30,-25.93875,150.058889
